Price,Close,High,Low,Open,Volume,symbol,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,META,META,META,META,META,NVDA,NVDA,NVDA,NVDA,NVDA,JPM,JPM,JPM,JPM,JPM,GS,GS,GS,GS,GS,BAC,BAC,BAC,BAC,BAC,JNJ,JNJ,JNJ,JNJ,JNJ,UNH,UNH,UNH,UNH,UNH,AMZN,AMZN,AMZN,AMZN,AMZN,WMT,WMT,WMT,WMT,WMT,KO,KO,KO,KO,KO,CAT,CAT,CAT,CAT,CAT,BA,BA,BA,BA,BA
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,183.73130798339844,186.5025222946912,181.99930092657837,185.22577720716953,82488700.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-03,182.35557556152344,183.968821035463,181.543999401021,182.32588522412956,58414500.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-04,180.03964233398438,181.20750256721809,179.02023379077144,180.2771650380176,71983600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-05,179.31715393066406,180.88091065327836,178.31754388665928,180.1188384374096,62379700.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-08,183.6521453857422,183.69174257913158,179.63389106527006,180.21782130157615,59144500.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-09,183.23646545410156,183.24635720149604,180.85124046635073,182.02900778818224,42841800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-10,184.27565002441406,184.48348240733844,182.02898528742006,182.45457200324566,46792900.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-11,183.6818084716797,185.12680377786887,181.73206228896322,184.6220377994394,49128400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12,184.00843811035156,184.82001442518902,183.28594792653803,184.14699807850627,40477800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-16,181.74197387695312,182.36548612847807,179.0697224204938,180.28708678689063,65603000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-17,180.80172729492188,181.04915686376333,178.44620806884475,179.40623600410183,47317400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-18,186.69058227539062,187.1953332109462,183.9193677995691,184.17668914088887,78005800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19,189.5904541015625,189.97644367310738,186.8786353534436,187.38338630026252,68903000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-22,191.89649963378906,193.32169654358245,190.28325381202234,190.32285100501898,60133900.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-23,193.17323303222656,193.73737977781175,191.83712223283266,193.01488956324005,42355600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-24,192.50021362304688,194.36088890095834,192.34185506707502,193.41075266703035,53631300.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-25,192.173583984375,194.251998276528,191.12448509283354,193.2127911304515,54822100.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-26,190.44158935546875,192.7575265029299,189.96652881027472,192.27257421163478,44594000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-29,189.75869750976562,190.22386634852867,187.63080907007364,190.03581744325376,47145600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
